# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.495437887229e-10       7.309026172906e-15       4.815171199973e-13       0.000000000000e+00       8.628903610467e-09       4.854772125557e-10      -2.515854151612e-12 
    3       1.409365943210e-10       1.238791651648e-14       6.068719691975e-13       0.000000000000e+00       5.411291721081e-09       3.469573586111e-10      -2.211507031142e-12 
    4       1.324622774416e-10       1.446512635926e-14       6.277976520594e-13       0.000000000000e+00       3.776588552816e-09       2.639785050798e-10      -1.764116067067e-12 
    5       1.257504767418e-10       1.337853519878e-14       5.879551647003e-13       0.000000000000e+00       2.821984230357e-09       2.093815838899e-10      -1.309529286441e-12 
    6       1.208053913287e-10       1.032310747922e-14       5.173990841422e-13       0.000000000000e+00       2.205212283239e-09       1.709429029509e-10      -8.948468925742e-13 
    7       1.173297571965e-10       6.841600365874e-15       4.365335862009e-13       0.000000000000e+00       1.778233642847e-09       1.425663901560e-10      -5.443860557810e-13 
    8       1.150037074233e-10       4.042374146252e-15       3.576623511455e-13       0.000000000000e+00       1.468351550793e-09       1.208855287022e-10      -2.689334595316e-13 
    9       1.135829010708e-10       2.336357197400e-15       2.880590507289e-13       0.000000000000e+00       1.235838580631e-09       1.038809734688e-10      -7.009986708472e-14 
   10       1.128526891660e-10       1.571653533686e-15       2.317799681305e-13       0.000000000000e+00       1.056623420703e-09       9.029297741241e-11       5.745597583358e-14 
   11       1.126728149709e-10       1.345905907621e-15       1.905574141806e-13       0.000000000000e+00       8.886898865102e-10       7.950622630620e-11       1.233291887529e-13 
   12       1.129346479139e-10       1.288312421125e-15       1.640636562046e-13       0.000000000000e+00       7.765278493316e-10       7.028426674799e-11       1.421600855718e-13 
   13       1.135181529577e-10       1.200674797111e-15       1.505300363002e-13       0.000000000000e+00       6.844563325942e-10       6.274647514902e-11       1.277329346420e-13 
   14       1.143248537122e-10       1.054790798621e-15       1.474046706933e-13       0.000000000000e+00       6.078507021290e-10       5.620932690820e-11       9.279532789276e-14 
   15       1.153611556261e-10       9.105397339937e-16       1.516730192351e-13       0.000000000000e+00       5.433693949419e-10       5.074770640531e-11       4.959311331230e-14 
   16       1.165881727457e-10       8.293959318681e-16       1.602914710316e-13       0.000000000000e+00       4.885455304826e-10       4.611880692142e-11       7.232457039086e-15 
   17       1.179228768552e-10       8.287731532647e-16       1.707806936935e-13       0.000000000000e+00       4.415155573821e-10       4.212235062268e-11      -2.792920670070e-14 
   18       1.193693331001e-10       8.811664360608e-16       1.812740701230e-13       0.000000000000e+00       4.006946006600e-10       3.857273457600e-11      -5.233421667620e-14 
   19       1.209354736047e-10       9.538926645303e-16       1.907919251424e-13       0.000000000000e+00       3.654375302789e-10       3.544037684638e-11      -6.510245800559e-14 
