# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.495442760276e-10       7.309265059076e-15       4.815171148065e-13       2.388861370136e-19       8.628903610467e-09       4.854772125557e-10      -2.515854151612e-12 
    3       1.409375667455e-10       1.238839452129e-14       6.068719461087e-13       4.780044795464e-19       5.411291721081e-09       3.469573586111e-10      -2.211507031142e-12 
    4       1.324638933485e-10       1.446592354280e-14       6.277975858852e-13       7.971819679675e-19       3.776588552816e-09       2.639785050798e-10      -1.764116067067e-12 
    5       1.257528917306e-10       1.337973190993e-14       5.879550144252e-13       1.196705767290e-18       2.821984230357e-09       2.093815838899e-10      -1.309529286441e-12 
    6       1.208087576709e-10       1.032478441010e-14       5.173987897642e-13       1.676916267157e-18       2.205212283239e-09       1.709429029509e-10      -8.948468925742e-13 
    7       1.173342233467e-10       6.843838595473e-15       4.365330660493e-13       2.238195799273e-18       1.778233642847e-09       1.425663901560e-10      -5.443860557810e-13 
    8       1.150094176180e-10       4.045255171772e-15       3.576614997251e-13       2.880956135233e-18       1.468351550793e-09       1.208855287022e-10      -2.689334595316e-13 
    9       1.135899950202e-10       2.339962952388e-15       2.880577371197e-13       3.605625259105e-18       1.235838580631e-09       1.038809734688e-10      -7.009986708472e-14 
   10       1.128613018426e-10       1.576066392460e-15       2.317780349462e-13       4.412633936261e-18       1.056623420703e-09       9.029297741241e-11       5.745597583358e-14 
   11       1.126830764957e-10       1.351208675913e-15       1.905546770665e-13       5.302402605995e-18       8.886898865102e-10       7.950622630620e-11       1.233291887529e-13 
   12       1.129466835368e-10       1.294588313343e-15       1.640599038386e-13       6.275329110005e-18       7.765278493316e-10       7.028426674799e-11       1.421600855718e-13 
   13       1.135320831272e-10       1.208007401038e-15       1.505250308358e-13       7.331777732576e-18       6.844563325942e-10       6.274647514902e-11       1.277329346420e-13 
   14       1.143407942257e-10       1.063264028775e-15       1.473981485726e-13       8.472069972743e-18       6.078507021290e-10       5.620932690820e-11       9.279532789276e-14 
   15       1.153792178504e-10       9.202377752157e-16       1.516646922870e-13       9.696477396065e-18       5.433693949419e-10       5.074770640531e-11       4.959311331230e-14 
   16       1.166084638944e-10       8.404031750243e-16       1.602810277617e-13       1.100521682691e-17       4.885455304826e-10       4.611880692142e-11       7.232457039086e-15 
   17       1.179455003099e-10       8.411741251370e-16       1.707678006734e-13       1.239844804483e-17       4.415155573821e-10       4.212235062268e-11      -2.792920670070e-14 
   18       1.193943887664e-10       8.950457247121e-16       1.812583734347e-13       1.387627281879e-17       4.006946006600e-10       3.857273457600e-11      -5.233421667620e-14 
   19       1.209630582495e-10       9.693348481995e-16       1.907730515102e-13       1.543874381463e-17       3.654375302789e-10       3.544037684638e-11      -6.510245800559e-14 
   20       1.225956288976e-10       1.030562381821e-15       1.985685573331e-13       1.708585634027e-17       3.343837602606e-10       3.267209112122e-11      -6.706958890904e-14 
   21       1.243040211345e-10       1.081655448255e-15       2.047244303858e-13       1.881757356061e-17       3.070458376560e-10       3.022365554337e-11      -6.038518045218e-14 
   22       1.260879329793e-10       1.140726895551e-15       2.096934198587e-13       2.063381663442e-17       2.827706820633e-10       2.801369664259e-11      -4.840846272694e-14 
   23       1.279365717948e-10       1.227172459762e-15       2.139233702052e-13       2.253449468754e-17       2.612248133044e-10       2.601113569639e-11      -3.407762214187e-14 
   24       1.298178542320e-10       1.359591118530e-15       2.179345847833e-13       2.451949490324e-17       2.419102418626e-10       2.418236736270e-11      -2.047693880639e-14 
   25       1.317486504201e-10       1.538392513827e-15       2.222217826876e-13       2.658871746889e-17       2.246000750951e-10       2.253677290644e-11      -9.447600298251e-15 
   26       1.337412866773e-10       1.756560535584e-15       2.272302521590e-13       2.874206345010e-17       2.089813615107e-10       2.107676123604e-11      -2.331878078142e-15 
   27       1.357769113209e-10       2.007678387673e-15       2.329801808583e-13       3.097946541504e-17       1.948668547495e-10       1.976942683423e-11       6.620879509158e-16 
   28       1.378198933969e-10       2.285336750215e-15       2.392873933093e-13       3.330087969350e-17       1.820132713241e-10       1.856395053385e-11      -9.525830519578e-17 
   29       1.398799667834e-10       2.589051790552e-15       2.458479732191e-13       3.570632165659e-17       1.703550512892e-10       1.745584863058e-11      -3.801164541914e-15 
   30       1.419713711943e-10       2.920067201653e-15       2.522262635925e-13       3.819584599527e-17       1.597671041768e-10       1.644630547596e-11      -9.226625485312e-15 
   31       1.440979607661e-10       3.279007073412e-15       2.579084723269e-13       4.076954662999e-17       1.500335693397e-10       1.552718037861e-11      -1.492866692955e-14 
   32       1.462626234124e-10       3.663758717287e-15       2.625223782186e-13       4.342758027898e-17       1.411042582878e-10       1.468921489403e-11      -2.002926980274e-14 
   33       1.484586600659e-10       4.070695960467e-15       2.656892046580e-13       4.617016013373e-17       1.329161009852e-10       1.391497677141e-11      -2.370100680170e-14 
   34       1.506731977268e-10       4.496668876180e-15       2.670412868226e-13       4.899754961512e-17       1.253545982185e-10       1.318309428412e-11      -2.518539266423e-14 
   35       1.529128655500e-10       4.944269819322e-15       2.664970854670e-13       5.191004395499e-17       1.183811086325e-10       1.249406632640e-11      -2.459200581432e-14 
   36       1.551854466140e-10       5.418475913487e-15       2.640842959243e-13       5.490799007561e-17       1.119397475885e-10       1.185261310839e-11      -2.238999423144e-14 
   37       1.574933383369e-10       5.924454822497e-15       2.598749239692e-13       5.799177157487e-17       1.059467510056e-10       1.126054185184e-11      -1.915231808519e-14 
   38       1.598370075304e-10       6.464531448238e-15       2.540004613121e-13       6.116172512644e-17       1.003866707646e-10       1.071670074064e-11      -1.535846329945e-14 
   39       1.622114453420e-10       7.040265230778e-15       2.466473370480e-13       6.441820176820e-17       9.524189563667e-11       1.021646102593e-11      -1.154171855533e-14 
